name,date,raceName,result
"シーガルワールド","2026/05/30","3歳未勝利","5"
"グランマエストロ","2026/05/31","3歳未勝利","6"
"アウダーシア","2026/05/31","東京優駿(GI)","11"
"アセンシオン","2026/06/13","2歳新馬","5"
"ユタライト","2026/06/13","2歳新馬","6"
"インカルナータ","2026/06/14","2歳新馬","1"
"ダイナマイク","2026/06/14","2歳新馬","4"
"スノーウィスパー","2026/06/20","2歳新馬","6"
"ラガリーガ","2026/06/21","2歳新馬","8"
"ステラトップガン","2026/06/27","2歳新馬","2"
"ラッキースパークル","2026/06/28","2歳新馬","3"
"ジャンゴッド","2026/07/05","2歳新馬","8"
"ショウナンガレオン","2026/07/05","2歳新馬","1"
"リサナウト","2026/07/12","2歳新馬","1"
"ウィクフォード","2026/07/12","2歳新馬","2"
"アセンシオン","2026/07/11","2歳未勝利","10"
"エルドボルグ","2026/07/12","2歳新馬","1"
"ステラトップガン","2026/07/19","2歳未勝利","1"
"ダノンダックス","2026/07/26","2歳新馬","2"
"アレオクール","2026/08/02","2歳新馬","4"
"ラガリーガ","2026/08/09","2歳未勝利","1"
"ユタライト","2026/08/16","2歳未勝利","13"
"プロテウス","2026/08/23","2歳新馬","4"
"インカルナータ","2026/08/23","新潟2歳S(G3)","9"
"ステラトップガン","2026/08/22","クローバー賞(OP)","7"
"チェスティーノ","2026/08/30","2歳新馬","1"
